IID	ChipType
2740	chip_HTS_iSelect_HD
3244	chip_HTS_iSelect_HD
2901	chip_HTS_iSelect_HD
3289	chip_HTS_iSelect_HD
3248	chip_HTS_iSelect_HD
3137	chip_HTS_iSelect_HD
3064	chip_HTS_iSelect_HD
2702	chip_HTS_iSelect_HD
2949	chip_HTS_iSelect_HD
3275	chip_HTS_iSelect_HD
3324	chip_HTS_iSelect_HD
2958	chip_HTS_iSelect_HD
2725	chip_HTS_iSelect_HD
3111	chip_HTS_iSelect_HD
3364	chip_HTS_iSelect_HD
3018	chip_HTS_iSelect_HD
2764	chip_HTS_iSelect_HD
3265	chip_HTS_iSelect_HD
2720	chip_HTS_iSelect_HD
2907	chip_HTS_iSelect_HD
2841	chip_HTS_iSelect_HD
2758	chip_HTS_iSelect_HD
3145	chip_HTS_iSelect_HD
3167	chip_HTS_iSelect_HD
2912	chip_HTS_iSelect_HD
2850	chip_HTS_iSelect_HD
3306	chip_HTS_iSelect_HD
2998	chip_HTS_iSelect_HD
2874	chip_HTS_iSelect_HD
3034	chip_HTS_iSelect_HD
2980	chip_HTS_iSelect_HD
3043	chip_HTS_iSelect_HD
3317	chip_HTS_iSelect_HD
2966	chip_HTS_iSelect_HD
3197	chip_HTS_iSelect_HD
2886	chip_HTS_iSelect_HD
2826	chip_HTS_iSelect_HD
2903	chip_HTS_iSelect_HD
3881	chip_HTS_iSelect_HD
3667	chip_HTS_iSelect_HD
3865	chip_HTS_iSelect_HD
3788	chip_HTS_iSelect_HD
3883	chip_HTS_iSelect_HD
3478	chip_HTS_iSelect_HD
3422	chip_HTS_iSelect_HD
3777	chip_HTS_iSelect_HD
3853	chip_HTS_iSelect_HD
3655	chip_HTS_iSelect_HD
3532	chip_HTS_iSelect_HD
3747	chip_HTS_iSelect_HD
3954	chip_HTS_iSelect_HD
3581	chip_HTS_iSelect_HD
3912	chip_HTS_iSelect_HD
3847	chip_HTS_iSelect_HD
3449	chip_HTS_iSelect_HD
3680	chip_HTS_iSelect_HD
3730	chip_HTS_iSelect_HD
3905	chip_HTS_iSelect_HD
3643	chip_HTS_iSelect_HD
3834	chip_HTS_iSelect_HD
3974	chip_HTS_iSelect_HD
3494	chip_HTS_iSelect_HD
3622	chip_HTS_iSelect_HD
3381	chip_HTS_iSelect_HD
3806	chip_HTS_iSelect_HD
3964	chip_HTS_iSelect_HD
3375	chip_HTS_iSelect_HD
3682	chip_HTS_iSelect_HD
3882	chip_HTS_iSelect_HD
3547	chip_HTS_iSelect_HD
3582	chip_HTS_iSelect_HD
3486	chip_HTS_iSelect_HD
3625	chip_HTS_iSelect_HD
3402	chip_HTS_iSelect_HD
3904	chip_HTS_iSelect_HD
3644	chip_HTS_iSelect_HD
3908	chip_HTS_iSelect_HD
3934	chip_HTS_iSelect_HD
3543	chip_HTS_iSelect_HD
3615	chip_HTS_iSelect_HD
3766	chip_HTS_iSelect_HD
3495	chip_HTS_iSelect_HD
3559	chip_HTS_iSelect_HD
3987	chip_HTS_iSelect_HD
3786	chip_HTS_iSelect_HD
3866	chip_HTS_iSelect_HD
3639	chip_HTS_iSelect_HD
3689	chip_HTS_iSelect_HD
3468	chip_HTS_iSelect_HD
3802	chip_HTS_iSelect_HD
3749	chip_HTS_iSelect_HD
3948	chip_HTS_iSelect_HD
3921	chip_HTS_iSelect_HD
3404	chip_HTS_iSelect_HD
3399	chip_HTS_iSelect_HD
3931	chip_HTS_iSelect_HD
3990	chip_HTS_iSelect_HD
3967	chip_HTS_iSelect_HD
3988	chip_HTS_iSelect_HD
4009	chip_HTS_iSelect_HD
3499	chip_HTS_iSelect_HD
3862	chip_HTS_iSelect_HD
3454	chip_HTS_iSelect_HD
3992	chip_HTS_iSelect_HD
3695	chip_HTS_iSelect_HD
3642	chip_HTS_iSelect_HD
3973	chip_HTS_iSelect_HD
4006	chip_HTS_iSelect_HD
3913	chip_HTS_iSelect_HD
3835	chip_HTS_iSelect_HD
3935	chip_HTS_iSelect_HD
3611	chip_HTS_iSelect_HD
3922	chip_HTS_iSelect_HD
3821	chip_HTS_iSelect_HD
3783	chip_HTS_iSelect_HD
3867	chip_HTS_iSelect_HD
3979	chip_HTS_iSelect_HD
4212	chip_HTS_iSelect_HD
4130	chip_HTS_iSelect_HD
4372	chip_HTS_iSelect_HD
4605	chip_HTS_iSelect_HD
4018	chip_HTS_iSelect_HD
4030	chip_HTS_iSelect_HD
4258	chip_HTS_iSelect_HD
4056	chip_HTS_iSelect_HD
4547	chip_HTS_iSelect_HD
4251	chip_HTS_iSelect_HD
4267	chip_HTS_iSelect_HD
4351	chip_HTS_iSelect_HD
4159	chip_HTS_iSelect_HD
4490	chip_HTS_iSelect_HD
4346	chip_HTS_iSelect_HD
4241	chip_HTS_iSelect_HD
4483	chip_HTS_iSelect_HD
4036	chip_HTS_iSelect_HD
4580	chip_HTS_iSelect_HD
4067	chip_HTS_iSelect_HD
4643	chip_HTS_iSelect_HD
4359	chip_HTS_iSelect_HD
4032	chip_HTS_iSelect_HD
4428	chip_HTS_iSelect_HD
4029	chip_HTS_iSelect_HD
4532	chip_HTS_iSelect_HD
4509	chip_HTS_iSelect_HD
4290	chip_HTS_iSelect_HD
4507	chip_HTS_iSelect_HD
4482	chip_HTS_iSelect_HD
4191	chip_HTS_iSelect_HD
4095	chip_HTS_iSelect_HD
4356	chip_HTS_iSelect_HD
4648	chip_HTS_iSelect_HD
4173	chip_HTS_iSelect_HD
4632	chip_HTS_iSelect_HD
4066	chip_HTS_iSelect_HD
4320	chip_HTS_iSelect_HD
4180	chip_HTS_iSelect_HD
4215	chip_HTS_iSelect_HD
4441	chip_HTS_iSelect_HD
4178	chip_HTS_iSelect_HD
4057	chip_HTS_iSelect_HD
4295	chip_HTS_iSelect_HD
4065	chip_HTS_iSelect_HD
4539	chip_HTS_iSelect_HD
4621	chip_HTS_iSelect_HD
4549	chip_HTS_iSelect_HD
4106	chip_HTS_iSelect_HD
4143	chip_HTS_iSelect_HD
4034	chip_HTS_iSelect_HD
4181	chip_HTS_iSelect_HD
4245	chip_HTS_iSelect_HD
4463	chip_HTS_iSelect_HD
4055	chip_HTS_iSelect_HD
4499	chip_HTS_iSelect_HD
4185	chip_HTS_iSelect_HD
4127	chip_HTS_iSelect_HD
4147	chip_HTS_iSelect_HD
4080	chip_HTS_iSelect_HD
4399	chip_HTS_iSelect_HD
5233	chip_HTS_iSelect_HD
4990	chip_HTS_iSelect_HD
4851	chip_HTS_iSelect_HD
5185	chip_HTS_iSelect_HD
5326	chip_HTS_iSelect_HD
5236	chip_HTS_iSelect_HD
5172	chip_HTS_iSelect_HD
5284	chip_HTS_iSelect_HD
5180	chip_HTS_iSelect_HD
5130	chip_HTS_iSelect_HD
5218	chip_HTS_iSelect_HD
5226	chip_HTS_iSelect_HD
5323	chip_HTS_iSelect_HD
4801	chip_HTS_iSelect_HD
4895	chip_HTS_iSelect_HD
4889	chip_HTS_iSelect_HD
5145	chip_HTS_iSelect_HD
4712	chip_HTS_iSelect_HD
5049	chip_HTS_iSelect_HD
4671	chip_HTS_iSelect_HD
4797	chip_HTS_iSelect_HD
5190	chip_HTS_iSelect_HD
4679	chip_HTS_iSelect_HD
4859	chip_HTS_iSelect_HD
4897	chip_HTS_iSelect_HD
5310	chip_HTS_iSelect_HD
4672	chip_HTS_iSelect_HD
4962	chip_HTS_iSelect_HD
4758	chip_HTS_iSelect_HD
4831	chip_HTS_iSelect_HD
4693	chip_HTS_iSelect_HD
5342	chip_HTS_iSelect_HD
5073	chip_HTS_iSelect_HD
5144	chip_HTS_iSelect_HD
4985	chip_HTS_iSelect_HD
5168	chip_HTS_iSelect_HD
4999	chip_HTS_iSelect_HD
5207	chip_HTS_iSelect_HD
4694	chip_HTS_iSelect_HD
5246	chip_HTS_iSelect_HD
4813	chip_HTS_iSelect_HD
4927	chip_HTS_iSelect_HD
5332	chip_HTS_iSelect_HD
5206	chip_HTS_iSelect_HD
4697	chip_HTS_iSelect_HD
5167	chip_HTS_iSelect_HD
5276	chip_HTS_iSelect_HD
5182	chip_HTS_iSelect_HD
5257	chip_HTS_iSelect_HD
4879	chip_HTS_iSelect_HD
4825	chip_HTS_iSelect_HD
5146	chip_HTS_iSelect_HD
5155	chip_HTS_iSelect_HD
4703	chip_HTS_iSelect_HD
5263	chip_HTS_iSelect_HD
4715	chip_HTS_iSelect_HD
4943	chip_HTS_iSelect_HD
5048	chip_HTS_iSelect_HD
4756	chip_HTS_iSelect_HD
4833	chip_HTS_iSelect_HD
4935	chip_HTS_iSelect_HD
5105	chip_HTS_iSelect_HD
5274	chip_HTS_iSelect_HD
4718	chip_HTS_iSelect_HD
5273	chip_HTS_iSelect_HD
4888	chip_HTS_iSelect_HD
5293	chip_HTS_iSelect_HD
5288	chip_HTS_iSelect_HD
4932	chip_HTS_iSelect_HD
5093	chip_HTS_iSelect_HD
5223	chip_HTS_iSelect_HD
4680	chip_HTS_iSelect_HD
5872	chip_HTS_iSelect_HD
5352	chip_HTS_iSelect_HD
5892	chip_HTS_iSelect_HD
5902	chip_HTS_iSelect_HD
5552	chip_HTS_iSelect_HD
5820	chip_HTS_iSelect_HD
5830	chip_HTS_iSelect_HD
5918	chip_HTS_iSelect_HD
5515	chip_HTS_iSelect_HD
5999	chip_HTS_iSelect_HD
6025	chip_HTS_iSelect_HD
5745	chip_HTS_iSelect_HD
5487	chip_HTS_iSelect_HD
5490	chip_HTS_iSelect_HD
5443	chip_HTS_iSelect_HD
5475	chip_HTS_iSelect_HD
5557	chip_HTS_iSelect_HD
5442	chip_HTS_iSelect_HD
5675	chip_HTS_iSelect_HD
5602	chip_HTS_iSelect_HD
5778	chip_HTS_iSelect_HD
5701	chip_HTS_iSelect_HD
5996	chip_HTS_iSelect_HD
5568	chip_HTS_iSelect_HD
5613	chip_HTS_iSelect_HD
5516	chip_HTS_iSelect_HD
5629	chip_HTS_iSelect_HD
5924	chip_HTS_iSelect_HD
5540	chip_HTS_iSelect_HD
5850	chip_HTS_iSelect_HD
5425	chip_HTS_iSelect_HD
6042	chip_HTS_iSelect_HD
5570	chip_HTS_iSelect_HD
5545	chip_HTS_iSelect_HD
5800	chip_HTS_iSelect_HD
5884	chip_HTS_iSelect_HD
5408	chip_HTS_iSelect_HD
5917	chip_HTS_iSelect_HD
6005	chip_HTS_iSelect_HD
5821	chip_HTS_iSelect_HD
5900	chip_HTS_iSelect_HD
5521	chip_HTS_iSelect_HD
5397	chip_HTS_iSelect_HD
6013	chip_HTS_iSelect_HD
5495	chip_HTS_iSelect_HD
5881	chip_HTS_iSelect_HD
5456	chip_HTS_iSelect_HD
5741	chip_HTS_iSelect_HD
5743	chip_HTS_iSelect_HD
5432	chip_HTS_iSelect_HD
5866	chip_HTS_iSelect_HD
5527	chip_HTS_iSelect_HD
5414	chip_HTS_iSelect_HD
5621	chip_HTS_iSelect_HD
5803	chip_HTS_iSelect_HD
5773	chip_HTS_iSelect_HD
5478	chip_HTS_iSelect_HD
5989	chip_HTS_iSelect_HD
5973	chip_HTS_iSelect_HD
5723	chip_HTS_iSelect_HD
5833	chip_HTS_iSelect_HD
5683	chip_HTS_iSelect_HD
5637	chip_HTS_iSelect_HD
5529	chip_HTS_iSelect_HD
5435	chip_HTS_iSelect_HD
5719	chip_HTS_iSelect_HD
6510	chip_HTS_iSelect_HD
6351	chip_HTS_iSelect_HD
6484	chip_HTS_iSelect_HD
6335	chip_HTS_iSelect_HD
6156	chip_HTS_iSelect_HD
6814	chip_HTS_iSelect_HD
6491	chip_HTS_iSelect_HD
6858	chip_HTS_iSelect_HD
6214	chip_HTS_iSelect_HD
6356	chip_HTS_iSelect_HD
6115	chip_HTS_iSelect_HD
6103	chip_HTS_iSelect_HD
6284	chip_HTS_iSelect_HD
6169	chip_HTS_iSelect_HD
6216	chip_HTS_iSelect_HD
6690	chip_HTS_iSelect_HD
6269	chip_HTS_iSelect_HD
6257	chip_HTS_iSelect_HD
6064	chip_HTS_iSelect_HD
6248	chip_HTS_iSelect_HD
6875	chip_HTS_iSelect_HD
6244	chip_HTS_iSelect_HD
6721	chip_HTS_iSelect_HD
6832	chip_HTS_iSelect_HD
6733	chip_HTS_iSelect_HD
6239	chip_HTS_iSelect_HD
6074	chip_HTS_iSelect_HD
6206	chip_HTS_iSelect_HD
6238	chip_HTS_iSelect_HD
6065	chip_HTS_iSelect_HD
6758	chip_HTS_iSelect_HD
6573	chip_HTS_iSelect_HD
6285	chip_HTS_iSelect_HD
6367	chip_HTS_iSelect_HD
6204	chip_HTS_iSelect_HD
6547	chip_HTS_iSelect_HD
6450	chip_HTS_iSelect_HD
6249	chip_HTS_iSelect_HD
6381	chip_HTS_iSelect_HD
7585	chip_HTS_iSelect_HD
7565	chip_HTS_iSelect_HD
7020	chip_HTS_iSelect_HD
7413	chip_HTS_iSelect_HD
7510	chip_HTS_iSelect_HD
7568	chip_HTS_iSelect_HD
7520	chip_HTS_iSelect_HD
7014	chip_HTS_iSelect_HD
7403	chip_HTS_iSelect_HD
6928	chip_HTS_iSelect_HD
7070	chip_HTS_iSelect_HD
6993	chip_HTS_iSelect_HD
7155	chip_HTS_iSelect_HD
