10	10
10012	10012
10036	10036
10097	10097
1010	1010
10100	10100
10106	10106
1013	1013
1020	1020
10216	10216
1022	1022
10232	10232
1024	1024
10246	10246
1026	1026
10260	10260
1028	1028
1033	1033
1034	1034
10348	10348
1036	1036
10374	10374
10381	10381
10383	10383
10384	10384
1039	1039
10408	10408
1041	1041
1047	1047
10489	10489
10490	10490
10492	10492
10530	10530
10542	10542
10544	10544
10572	10572
1058	1058
10586	10586
1059	1059
1060	1060
10635	10635
10653	10653
1066	1066
1071	1071
1075	1075
1077	1077
10773	10773
10785	10785
1079	1079
10790	10790
1085	1085
10897	10897
1091	1091
10962	10962
10984	10984
11	11
11012	11012
11015	11015
1103	1103
1104	1104
11053	11053
11062	11062
11069	11069
11076	11076
11082	11082
1114	1114
1121	1121
1125	1125
1129	1129
1131	1131
1133	1133
1134	1134
11377	11377
11393	11393
11396	11396
11397	11397
1142	1142
11458	11458
11462	11462
11493	11493
11502	11502
11526	11526
11528	11528
11531	11531
11548	11548
11557	11557
11562	11562
11584	11584
11585	11585
1163	1163
11643	11643
1165	1165
11700	11700
11753	11753
1177	1177
11790	11790
11795	11795
118	118
11828	11828
1190	1190
1196	1196
1209	1209
1214	1214
1221	1221
1227	1227
123	123
1233	1233
1235	1235
124	124
126	126
1275	1275
1281	1281
1288	1288
1290	1290
13	13
1312	1312
1325	1325
1341	1341
1342	1342
1366	1366
1374	1374
1379	1379
1382	1382
1384	1384
1392	1392
14	14
1401	1401
1404	1404
141	141
1412	1412
1414	1414
1420	1420
1430	1430
1432	1432
1440	1440
1442	1442
1445	1445
1446	1446
1447	1447
1459	1459
1462	1462
1465	1465
1466	1466
1467	1467
1470	1470
1494	1494
1499	1499
1503	1503
1507	1507
1514	1514
1515	1515
1521	1521
1522	1522
1531	1531
1537	1537
1564	1564
1565	1565
1568	1568
1573	1573
1578	1578
1588	1588
159	159
16	16
1600	1600
1610	1610
1615	1615
1623	1623
1626	1626
1627	1627
1631	1631
1641	1641
1653	1653
1658	1658
1664	1664
1668	1668
1669	1669
1685	1685
1686	1686
1697	1697
1699	1699
17	17
1702	1702
1705	1705
1707	1707
1712	1712
1717	1717
1718	1718
1720	1720
1723	1723
1742	1742
1743	1743
1745	1745
175	175
1759	1759
1763	1763
1764	1764
177	177
1776	1776
1778	1778
1784	1784
1785	1785
1788	1788
1790	1790
180	180
1802	1802
1808	1808
1810	1810
1811	1811
1813	1813
1814	1814
1815	1815
1822	1822
1825	1825
1833	1833
1841	1841
1853	1853
1858	1858
187	187
1875	1875
1876	1876
1887	1887
1889	1889
189	189
1892	1892
1901	1901
1902	1902
1903	1903
1904	1904
1958	1958
1963	1963
1968	1968
1970	1970
1975	1975
1980	1980
1984	1984
1985	1985
1991	1991
1992	1992
1993	1993
1996	1996
200	200
2000	2000
2001	2001
2004	2004
2006	2006
2008	2008
2009	2009
2013	2013
202	202
2022	2022
2023	2023
2024	2024
2025	2025
2030	2030
2034	2034
2039	2039
204	204
2042	2042
2048	2048
2050	2050
2052	2052
2055	2055
2056	2056
2064	2064
207	207
2074	2074
2076	2076
2077	2077
