1100	1100
1033	1033
1047	1047
1026	1026
1041	1041
1079	1079
1071	1071
1103	1103
1029	1029
1094	1094
10	10
1034	1034
1040	1040
1046	1046
1039	1039
1060	1060
1081	1081
1085	1085
1036	1036
1020	1020
10251	10251
1091	1091
1024	1024
11	11
1028	1028
10374	10374
1022	1022
1080	1080
1038	1038
1013	1013
1066	1066
1063	1063
1058	1058
1089	1089
1077	1077
1104	1104
1075	1075
1440	1440
141	141
1209	1209
1193	1193
13	13
1165	1165
1325	1325
1177	1177
1424	1424
1221	1221
1420	1420
139	139
1131	1131
1374	1374
1404	1404
1290	1290
1201	1201
1470	1470
1459	1459
1467	1467
1288	1288
1465	1465
1390	1390
1112	1112
1338	1338
137	137
1227	1227
1192	1192
1409	1409
1379	1379
1275	1275
1129	1129
1210	1210
1447	1447
1213	1213
1442	1442
1235	1235
1384	1384
1341	1341
1133	1133
1134	1134
1366	1366
1499	1499
1430	1430
1142	1142
1432	1432
1125	1125
1305	1305
1462	1462
1446	1446
1171	1171
1258	1258
144	144
1375	1375
1190	1190
1121	1121
1214	1214
1466	1466
1392	1392
1172	1172
1233	1233
146	146
1412	1412
123	123
1163	1163
1281	1281
1445	1445
1147	1147
1215	1215
1114	1114
124	124
1414	1414
1401	1401
1312	1312
1196	1196
1382	1382
1269	1269
1494	1494
1173	1173
2022	2022
1877	1877
1851	1851
1664	1664
202	202
1523	1523
189	189
1992	1992
1901	1901
1764	1764
1875	1875
1876	1876
1778	1778
1996	1996
160	160
175	175
200	200
1841	1841
1980	1980
1507	1507
1712	1712
1984	1984
1678	1678
1727	1727
1743	1743
159	159
1987	1987
1515	1515
1566	1566
1659	1659
1742	1742
1815	1815
168	168
154	154
1958	1958
1968	1968
1790	1790
1697	1697
1776	1776
1825	1825
1985	1985
1848	1848
177	177
2018	2018
1745	1745
199	199
1963	1963
1892	1892
2106	2106
207	207
2456	2456
2385	2385
2516	2516
2288	2288
2214	2214
2498	2498
2238	2238
2512	2512
216	216
2050	2050
2042	2042
266	266
2278	2278
258	258
2307	2307
2676	2676
2153	2153
2162	2162
251	251
22	22
2236	2236
2293	2293
2687	2687
241	241
2023	2023
2035	2035
2151	2151
2074	2074
2504	2504
2558	2558
2339	2339
2700	2700
268	268
2329	2329
2080	2080
2077	2077
2677	2677
2024	2024
253	253
2681	2681
2158	2158
2542	2542
2048	2048
204	204
2513	2513
2217	2217
2249	2249
2412	2412
2371	2371
2096	2096
328	328
3335	3335
287	287
2760	2760
3341	3341
2849	2849
323	323
276	276
33	33
3227	3227
2920	2920
2890	2890
295	295
322	322
2971	2971
325	325
2881	2881
330	330
3170	3170
3344	3344
319	319
2739	2739
3104	3104
2983	2983
3004	3004
296	296
279	279
3186	3186
2969	2969
3320	3320
3158	3158
2751	2751
2707	2707
305	305
3211	3211
3206	3206
2718	2718
285	285
298	298
288	288
3280	3280
3343	3343
294	294
3085	3085
311	311
2990	2990
3179	3179
3569	3569
3395	3395
337	337
3598	3598
3605	3605
366	366
3394	3394
3923	3923
3799	3799
38	38
397	397
368	368
347	347
345	345
3531	3531
3706	3706
3417	3417
357	357
349	349
3415	3415
363	363
40	40
380	380
394	394
341	341
3489	3489
3724	3724
3780	3780
3728	3728
466	466
440	440
4438	4438
4569	4569
441	441
4646	4646
4171	4171
4498	4498
4342	4342
437	437
4587	4587
4248	4248
4230	4230
439	439
4381	4381
4195	4195
463	463
420	420
44	44
4411	4411
411	411
4594	4594
4194	4194
4200	4200
4048	4048
4558	4558
4500	4500
4240	4240
4301	4301
483	483
5098	5098
500	500
488	488
528	528
468	468
4735	4735
4814	4814
497	497
4983	4983
481	481
5235	5235
502	502
5195	5195
495	495
5044	5044
503	503
5302	5302
473	473
4784	4784
533	533
4695	4695
53	53
4998	4998
4837	4837
556	556
572	572
58	58
554	554
594	594
589	589
581	581
6035	6035
602	602
567	567
5965	5965
549	549
583	583
595	595
574	574
5620	5620
563	563
561	561
5447	5447
5582	5582
539	539
569	569
55	55
6099	6099
650	650
667	667
646	646
651	651
607	607
609	609
62	62
6860	6860
688	688
610	610
669	669
6192	6192
684	684
613	613
6120	6120
675	675
6544	6544
6861	6861
6706	6706
645	645
63	63
6589	6589
685	685
6179	6179
678	678
6859	6859
637	637
754	754
762	762
6989	6989
745	745
726	726
721	721
7547	7547
7127	7127
74	74
758	758
75	75
722	722
761	761
735	735
7471	7471
7055	7055
749	749
8	8
7989	7989
803	803
798	798
777	777
781	781
8129	8129
7722	7722
807	807
839	839
820	820
782	782
836	836
811	811
775	775
776	776
832	832
792	792
799	799
80	80
81	81
842	842
8318	8318
8415	8415
806	806
7981	7981
763	763
808	808
779	779
816	816
912	912
8841	8841
898	898
862	862
850	850
924	924
885	885
918	918
925	925
9195	9195
922	922
865	865
9232	9232
8874	8874
891	891
899	899
909	909
916	916
8737	8737
854	854
915	915
903	903
887	887
920	920
952	952
968	968
9765	9765
990	990
999	999
951	951
966	966
9928	9928
9781	9781
99	99
9812	9812
9519	9519
954	954
943	943
926	926
949	949
